deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
461213,won,gmail.com,meta,meta,1,0,n,,recuperado_rd_meta
461259,lost,gmail.com,,,0,0,n,,escuro
461275,lost,hotmail.com,meta,meta,1,0,n,,recuperado_rd_meta
461284,won,gmail.com,seo,,0,0,s,2026-05-26T02:15:43.125Z,recuperado_rd_seo
461329,won,gmail.com,google,www.google.com,0,0,s,2026-07-19T18:40:32.959Z,recuperado_rd_google
461351,won,gmail.com,,,0,0,n,,escuro
461381,open,INVALIDO,,,0,0,n,,sem_email
461382,lost,icloud.com,chatgpt_com,chatgpt.com,0,0,s,2026-07-19T14:14:54.590Z,recuperado_rd_chatgpt_com
461386,won,gmail.com,google,,0,0,s,2026-07-19T02:18:30.264Z,recuperado_rd_google
461405,lost,gmail.com,google,www.google.com,0,0,s,2026-07-15T00:01:12.800Z,recuperado_rd_google
461406,won,gmail.com,,,0,0,n,,escuro
461411,lost,gmail.com,claude_ai,claude.ai,0,0,s,2026-07-14T12:18:06.755Z,recuperado_rd_claude_ai
461423,lost,gmail.com,direto,direto,0,0,s,2026-07-20T17:14:15.445Z,recuperado_rd_direto
461424,open,gmail.com,seo,,0,0,s,2025-04-28T16:19:41.231Z,recuperado_rd_seo
461476,open,gmail.com,,,0,0,n,,escuro
461481,won,luckau.com.br,google,www.google.com,0,0,s,2026-07-07T14:35:24.480Z,recuperado_rd_google
461487,open,gmail.com,direto,direto,0,0,s,2026-07-20T18:18:35.035Z,recuperado_rd_direto
461518,open,bsfinances.com.br,direto,direto,0,0,s,2026-07-19T21:36:55.759Z,recuperado_rd_direto
461523,won,gmail.com,wpp,wpp,0,0,s,2024-09-18T09:02:57.312Z,recuperado_rd_wpp
461527,won,gmail.com,,,0,0,n,,escuro
461535,won,gmail.com,,,0,0,n,,escuro
461577,open,gmail.com,direto,direto,0,0,s,2026-07-01T02:45:53.741Z,recuperado_rd_direto
